City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,ambagarh chauki,20.7833,80.7167,27.09,77,100,4.0,IN,1723350831
309,chimbote,-9.0853,-78.5783,16.33,86,65,4.3,PE,1723350832
310,buka,40.8108,69.1986,31.77,19,1,2.07,UZ,1723350834
311,emmeloord,52.7108,5.7486,17.77,70,93,1.04,NL,1723350835
312,papao,-17.75,-149.55,25.37,78,100,4.26,PF,1723350836
313,haiku-pauwela,20.9219,-156.3051,26.69,78,40,10.29,US,1723350837
314,longyearbyen,78.2186,15.6401,16.91,55,0,6.69,SJ,1723350838
315,zhaqsy,51.9083,67.3133,16.19,54,88,3.14,KZ,1723350840
316,sinabang,2.4803,96.3801,25.01,91,100,4.72,ID,1723350841
317,slave lake,55.2834,-114.769,17.99,68,0,3.09,CA,1723350842
318,calatayud,41.3535,-1.6432,26.24,29,0,2.13,ES,1723350843
319,saudarkrokur,65.7461,-19.6394,7.48,90,100,0.57,IS,1723350845
320,ust-tsilma,65.441,52.1498,19.09,48,16,1.2,RU,1723350846
321,udachny,66.4167,112.4,13.53,50,85,2.46,RU,1723350847
322,vernon,50.2581,-119.2691,24.74,41,78,0.51,CA,1723350777
323,shache,38.4167,77.2406,34.6,17,18,2.84,CN,1723350849
324,klyetsk,53.0635,26.6321,15.02,76,22,4.48,BY,1723350851
325,nova sintra,14.8667,-24.7167,25.36,81,100,7.79,CV,1723350852
326,biskra,34.8504,5.7281,31.73,25,20,6.17,DZ,1723350853
327,puerto el triunfo,13.2833,-88.55,25.2,92,61,2.66,SV,1723350854
328,lhasa,29.65,91.1,20.86,35,88,1.54,CN,1723350855
329,cruzeiro do sul,-29.5128,-51.9853,8.62,91,0,1.91,BR,1723350858
330,manismata,-2.4667,111.0333,30.59,54,79,2.7,ID,1723350859
331,sault ste. marie,46.5168,-84.3333,14.9,89,100,7.2,CA,1723350860
332,vorgashor,67.5833,63.95,17.16,56,76,5.1,RU,1723350862
333,mana,5.6592,-53.7767,25.48,87,62,2.97,GF,1723350863
334,jianguang,28.1938,115.7836,37.73,44,49,2.61,CN,1723350864
335,baikonur,45.6167,63.3167,30.38,28,46,5.1,KZ,1723350865
336,olyokminsk,60.3736,120.4264,28.74,39,25,1.57,RU,1723350867
337,youssoufia,32.2463,-8.5294,24.89,44,22,2.18,MA,1723350868
338,tamanrasset,22.785,5.5228,24.95,20,0,2.57,DZ,1723350870
339,ocean shores,46.9737,-124.1563,16.09,94,100,5.66,US,1723350871
340,gornyye klyuchi,45.25,133.5,23.88,80,100,1.6,RU,1723350873
341,goz beida,13.95,20.55,25.33,78,95,2.67,TD,1723350874
342,el nido,11.1858,119.3956,30.24,70,100,1.96,PH,1723350875
343,kwang binh,17.4833,106.6,37.46,43,100,4.84,VN,1723350876
344,ryotsu-minato,38.0833,138.4333,28.07,73,17,3.83,JP,1723350878
345,faya-largeau,17.9257,19.1043,31.52,56,95,1.59,TD,1723350879
346,businga,3.3333,20.8833,21.32,97,99,0.98,CD,1723350880
347,nar'yan-mar,67.6713,53.087,17.8,61,56,3.58,RU,1723350881
348,saynshand,44.8824,110.1163,23.98,43,97,5.45,MN,1723350882
349,hastings,50.8552,0.5729,17.66,93,0,1.34,GB,1723350884
350,labrador city,52.9463,-66.9114,15.66,60,100,1.34,CA,1723350885
351,cururupu,-1.8283,-44.8683,24.25,85,33,1.58,BR,1723350886
352,weyburn,49.6668,-103.8511,14.12,67,7,3.6,CA,1723350887
353,saint george's,12.0564,-61.7485,24.82,88,20,0.0,GD,1723350888
354,tobelo,1.7284,128.0095,28.42,74,21,2.68,ID,1723350890
355,tura,25.5198,90.2201,29.09,75,96,2.85,IN,1723350891
356,barra de santo antonio,-9.4047,-35.5072,19.6,91,5,3.34,BR,1723350892
357,agat village,13.3886,144.6585,31.52,79,40,2.57,GU,1723350893
